rank,title,year,rating,rating_count,genre,url
N/A,Trespass,N/A,5.3,46901,"C, r, i, m, e, ,,  , D, r, a, m, a, ,,  , M, y, s, t, e, r, y",https://www.imdb.com/title/tt1674784/
N/A,Between Worlds,N/A,3.9,8337,"F, a, n, t, a, s, y, ,,  , M, y, s, t, e, r, y, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt7295450/
N/A,A Score to Settle,N/A,4.8,7690,"A, c, t, i, o, n, ,,  , C, r, i, m, e, ,,  , D, r, a, m, a",https://www.imdb.com/title/tt3758162/
N/A,USS Indianapolis: Men of Courage,N/A,5.3,15190,"A, c, t, i, o, n, ,,  , D, r, a, m, a, ,,  , H, i, s, t, o, r, y",https://www.imdb.com/title/tt2032572/
N/A,Primal,N/A,4.9,12150,"A, c, t, i, o, n, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt7394816/
N/A,Dying of the Light,N/A,4.5,12033,"A, c, t, i, o, n, ,,  , D, r, a, m, a, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt1274586/
N/A,Ghost Rider: Spirit of Vengeance,N/A,4.4,131855,"A, c, t, i, o, n, ,,  , F, a, n, t, a, s, y, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt1071875/
N/A,Bangkok Dangerous,N/A,5.3,59266,"A, c, t, i, o, n, ,,  , C, r, i, m, e, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0814022/
N/A,Tokarev,N/A,5.0,26179,"A, c, t, i, o, n, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt2401807/
N/A,Deadfall,N/A,4.0,4094,"C, r, i, m, e, ,,  , D, r, a, m, a",https://www.imdb.com/title/tt0106684/
N/A,Pay the Ghost,N/A,5.2,19808,"H, o, r, r, o, r, ,,  , M, y, s, t, e, r, y",https://www.imdb.com/title/tt3733778/
N/A,Looking Glass,N/A,4.7,8614,"M, y, s, t, e, r, y, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt6083648/
N/A,Outcast,N/A,4.6,14794,"A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt1552224/
N/A,The Humanity Bureau,N/A,4.5,12560,"A, c, t, i, o, n, ,,  , S, c, i, -, F, i, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt6143568/
N/A,Jiu Jitsu,N/A,2.9,11114,"A, c, t, i, o, n, ,,  , S, c, i, -, F, i, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt9624766/
N/A,The Wicker Man,N/A,3.8,73884,"H, o, r, r, o, r, ,,  , M, y, s, t, e, r, y, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0450345/
N/A,Arsenal,N/A,4.0,5243,"A, c, t, i, o, n, ,,  , C, r, i, m, e, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt5580536/
N/A,Left Behind,N/A,3.1,43930,"A, c, t, i, o, n, ,,  , F, a, n, t, a, s, y, ,,  , S, c, i, -, F, i",https://www.imdb.com/title/tt2467046/
N/A,211,N/A,4.4,10236,"A, c, t, i, o, n, ,,  , D, r, a, m, a, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt4976192/
